Timestamp,Force (g),Position (mm),Stimulus
0,2.204391,3.675029,0.001720091
0.0001,2.174187,3.673895,0.001220727
0.0002,2.170832,3.674705,0.001303727
0.0003,2.190967,3.675191,0.001969818
0.0004,2.217814,3.672112,0.000887818
0.0005,2.199357,3.670977,0.001609091
0.0006,2.196001,3.671788,8.31818E-05
0.0007,2.201035,3.674057,0
0.0008,2.222848,3.672436,-2.77273E-05
0.0009,2.236271,3.670977,0.000998818
0.001,2.217814,3.670977,0.000693636
0.0011,2.196001,3.673733,0.001359455
0.0012,2.204391,3.67665,0.001442636
0.0013,2.211102,3.674219,0.000554909
0.0014,2.211102,3.672922,0.000638091
0.0015,2.185933,3.674381,0.001914364
0.0016,2.179221,3.675839,0.001803182
0.0017,2.190967,3.676163,0.002275
0.0018,2.202713,3.673733,0.001054273
0.0019,2.187611,3.673084,0.000222
0.002,2.175865,3.673895,0.001387091
0.0021,2.180899,3.674705,0.000943273
0.0022,2.209424,3.672922,0.001498091
0.0023,2.217814,3.670815,0.000582545
0.0024,2.197679,3.671626,0.001775455
0.0025,2.206069,3.673409,0.002025273
0.0026,2.216136,3.673084,0.001803273
0.0027,2.237949,3.670977,0.000499364
0.0028,2.216136,3.671302,-0.000249636
0.0029,2.206069,3.673084,-0.000249818
0.003,2.197679,3.675191,0.002219455
0.0031,2.21278,3.674219,0.001303909
0.0032,2.227882,3.673733,0.000804636
0.0033,2.194323,3.673895,0.000388364
0.0034,2.175865,3.676488,0.000638
0.0035,2.180899,3.678594,0.002275
0.0036,2.197679,3.674057,0.001969818
0.0037,2.202713,3.67276,0.001858727
0.0038,2.170832,3.67357,0.001525909
0.0039,2.185933,3.674381,0.000277545
0.004,2.204391,3.673409,0.001276182
0.0041,2.217814,3.670815,0.001914364
0.0042,2.21278,3.671139,0.000832273
0.0043,2.197679,3.67195,0.001442727
0.0044,2.21278,3.673409,-2.76364E-05
0.0045,2.227882,3.672274,0.001359273
0.0046,2.227882,3.670977,0.001498182
0.0047,2.202713,3.672274,0.001859
0.0048,2.201035,3.675191,0.001193
0.0049,2.207746,3.675677,0.001082
0.005,2.222848,3.674381,0.000582636
0.0051,2.192645,3.673895,0.002080727
0.0052,2.179221,3.675839,0.000998818
0.0053,2.182577,3.676812,0.000721364
0.0054,2.201035,3.674543,0.000887727
0.0055,2.211102,3.673084,0.000915455
0.0056,2.185933,3.672598,0.002080636
0.0057,2.180899,3.674867,0.001387091
0.0058,2.199357,3.675191,0.000610273
0.0059,2.211102,3.67195,0.001331636
0.006,2.22117,3.669681,0.002469182
0.0061,2.201035,3.671788,0.000749091
0.0062,2.211102,3.67357,0.002385818
0.0063,2.22117,3.67276,0.000471727
0.0064,2.231238,3.670815,0.000527
0.0065,2.21278,3.672274,0.002053
0.0066,2.197679,3.674219,0.000832455
0.0067,2.201035,3.676163,0.000499455
0.0068,2.21278,3.674381,0.001414909
0.0069,2.207746,3.673733,0.000610273
0.007,2.182577,3.674219,0.00086
0.0071,2.180899,3.676488,0.001553727
0.0072,2.194323,3.676002,0.000998818
0.0073,2.206069,3.673246,0.001276182
0.0074,2.192645,3.67276,0.001442636
0.0075,2.184255,3.673733,0.000971091
0.0076,2.190967,3.674867,0.001442545
0.0077,2.22117,3.672274,0.000860182
0.0078,2.236271,3.670977,0.000305182
0.0079,2.216136,3.671464,0.001415
0.008,2.202713,3.673246,0.001470455
0.0081,2.219492,3.674543,0.002607909
0.0082,2.224526,3.672112,0.000860091
0.0083,2.222848,3.671139,0.000388455
0.0084,2.206069,3.672598,0.000832273
0.0085,2.196001,3.675353,0.001248455
0.0086,2.204391,3.675677,0.002219636
0.0087,2.21278,3.673895,0.001442545
0.0088,2.197679,3.674057,0.001442545
0.0089,2.175865,3.676163,0.000638091
0.009,2.184255,3.676326,0.002219364
0.0091,2.204391,3.674381,0.000887909
0.0092,2.199357,3.672598,0.001193091
0.0093,2.182577,3.672922,-0.000360636
0.0094,2.180899,3.674381,0.000360545
0.0095,2.204391,3.673895,0.000915545
0.0096,2.22117,3.671139,0.002025091
0.0097,2.204391,3.670653,0.001387273
0.0098,2.207746,3.672598,0.000860182
0.0099,2.204391,3.674219,0.000582636
0.01,2.22956,3.672112,0.000693545
0.0101,2.237949,3.671139,0.001081909
0.0102,2.206069,3.67276,0.001720273
0.0103,2.197679,3.675677,0.000943273
0.0104,2.201035,3.676326,0.001664636
0.0105,2.207746,3.674219,0.001082
0.0106,2.202713,3.67357,0.001026545
