Timestamp,Force (g),Position (mm),Stimulus
0.000000,1.608721,-0.001338,0.002511
0.000100,1.617111,-0.002472,0.000566
0.000200,1.610399,-0.001986,0.001214
0.000300,1.607043,-0.001338,0.002187
0.000400,1.596975,0.000445,-0.002027
0.000500,1.608721,0.000445,-0.003972
0.000600,1.605365,-0.000203,0.002187
0.000700,1.603687,-0.001013,0.001538
0.000800,1.591941,-0.000365,0.002187
0.000900,1.591941,-0.000365,0.005752
0.001000,1.593619,-0.000365,-0.004296
0.001100,1.615433,-0.001176,0.002835
0.001200,1.627178,-0.002634,0.003483
0.001300,1.620467,-0.001824,-0.000082
0.001400,1.605365,-0.001176,0.002835
0.001500,1.598653,0.000769,-0.003972
0.001600,1.600331,0.000121,-0.003323
0.001700,1.605365,-0.000203,0.002511
0.001800,1.603687,-0.001013,0.003483
0.001900,1.595297,-0.000851,0.002187
0.002000,1.590264,-0.000527,0.004455
0.002100,1.605365,-0.000203,-0.002027
0.002200,1.613755,-0.001176,0.001538
0.002300,1.627178,-0.002472,0.005752
0.002400,1.625500,-0.001662,-0.002675
0.002500,1.598653,-0.000365,0.001863
0.002600,1.595297,0.000283,-0.003648
0.002700,1.598653,0.000607,-0.003323
0.002800,1.603687,-0.000041,0.002187
0.002900,1.602009,-0.001338,-0.000082
0.003000,1.596975,-0.001662,0.001538
0.003100,1.595297,-0.001013,0.003483
0.003200,1.602009,-0.000365,0.003159
0.003300,1.613755,-0.000851,0.002187
0.003400,1.620467,-0.002310,0.005428
0.003500,1.623822,-0.001500,-0.004296
0.003600,1.598653,-0.000365,0.000242
0.003700,1.593619,0.000445,-0.000730
0.003800,1.598653,0.000445,-0.004944
0.003900,1.600331,-0.000527,0.002511
0.004000,1.602009,-0.001500,-0.001055
0.004100,1.605365,-0.001986,-0.000406
0.004200,1.602009,-0.001338,0.003807
0.004300,1.602009,-0.000365,0.006076
0.004400,1.612077,-0.000527,0.002511
0.004500,1.620467,-0.001662,0.004455
0.004600,1.618789,-0.001338,-0.002675
0.004700,1.595297,-0.000203,-0.000082
0.004800,1.588586,0.000283,0.002835
0.004900,1.598653,0.000283,-0.003648
0.005000,1.602009,-0.000527,0.001214
0.005100,1.608721,-0.001662,-0.002027
0.005200,1.605365,-0.002148,-0.001055
0.005300,1.603687,-0.001662,0.003807
0.005400,1.605365,-0.000203,0.004131
0.005500,1.610399,-0.000041,0.001538
0.005600,1.608721,-0.000689,0.001538
0.005700,1.612077,-0.000851,0.001538
0.005800,1.593619,-0.000527,0.000890
0.005900,1.585230,-0.000041,0.004780
0.006000,1.593619,0.000283,-0.003323
0.006100,1.600331,-0.000527,-0.001055
0.006200,1.622144,-0.001986,-0.000406
0.006300,1.610399,-0.002148,-0.001379
0.006400,1.607043,-0.001824,0.005104
0.006500,1.602009,-0.000203,0.001538
0.006600,1.602009,0.000607,-0.000730
0.006700,1.613755,-0.000689,0.000242
0.006800,1.603687,-0.000851,0.003807
0.006900,1.595297,-0.001013,0.002187
0.007000,1.588586,-0.000203,0.003807
0.007100,1.593619,-0.000203,-0.000730
0.007200,1.605365,-0.000527,-0.003648
0.007300,1.620467,-0.001662,0.003159
0.007400,1.620467,-0.002472,-0.000730
0.007500,1.605365,-0.001824,0.000890
0.007600,1.600331,-0.000203,-0.002675
0.007700,1.593619,0.001093,-0.002675
0.007800,1.607043,0.000931,-0.000406
0.007900,1.607043,-0.000365,0.003483
0.008000,1.600331,-0.001338,0.002835
0.008100,1.591941,-0.000689,0.001538
0.008200,1.598653,-0.000689,0.001863
0.008300,1.610399,-0.000689,-0.003972
0.008400,1.617111,-0.001662,0.005428
0.008500,1.623822,-0.002148,0.001214
0.008600,1.605365,-0.000851,-0.002027
0.008700,1.598653,-0.000041,-0.003323
0.008800,1.588586,0.001580,-0.003648
0.008900,1.603687,0.001093,0.002835
0.009000,1.605365,-0.000689,0.004131
0.009100,1.602009,-0.001662,0.001214
0.009200,1.598653,-0.001013,0.000566
0.009300,1.596975,-0.001176,0.001538
0.009400,1.612077,-0.000851,-0.002027
0.009500,1.620467,-0.001176,0.004131
0.009600,1.623822,-0.001986,0.001538
0.009700,1.603687,-0.000689,-0.005592
0.009800,1.590264,-0.000041,0.000890
0.009900,1.586908,0.001093,-0.002999
0.010000,1.598653,0.000769,0.002187
0.010100,1.607043,-0.001013,0.005752
0.010200,1.607043,-0.001824,-0.000406
0.010300,1.605365,-0.001338,0.000890
0.010400,1.596975,-0.001013,0.003159
0.010500,1.620467,-0.000689,-0.000082
0.010600,1.613755,-0.001013,0.001538
0.010700,1.622144,-0.001500,0.002187
0.010800,1.608721,-0.001013,-0.007861
0.010900,1.591941,-0.000041,0.001538
0.011000,1.581874,0.000769,-0.000730
0.011100,1.595297,0.000445,-0.000082
0.011200,1.610399,-0.001176,0.004131
0.011300,1.607043,-0.001986,-0.000730
0.011400,1.605365,-0.001500,0.002835
0.011500,1.602009,-0.001176,0.004780
0.011600,1.612077,-0.000527,0.001538
0.011700,1.612077,-0.000689,0.000242
0.011800,1.613755,-0.001176,0.001538
0.011900,1.612077,-0.000851,-0.004620
0.012000,1.595297,-0.000203,0.000566
0.012100,1.585230,0.000283,-0.000082
0.012200,1.593619,-0.000203,-0.003323
0.012300,1.612077,-0.001500,0.004131
0.012400,1.617111,-0.002472,-0.001379
0.012500,1.603687,-0.001824,0.004780
0.012600,1.602009,-0.000851,0.006076
