Timestamp,Force (g),Position (mm),Stimulus
0,5.337111,3.671464,0.001720091
0.0001,5.372347,3.668384,0.001220727
0.0002,5.365635,3.668709,0.001303727
0.0003,5.35389,3.670491,0.001969818
0.0004,5.379059,3.667898,0.000887818
0.0005,5.338789,3.671139,0.001609091
0.0006,5.352212,3.669033,8.31818E-05
0.0007,5.352212,3.669357,0
0.0008,5.328721,3.672436,-2.77273E-05
0.0009,5.355568,3.668871,0.000998818
0.001,5.323687,3.671626,0.000693636
0.0011,5.347178,3.670815,0.001359455
0.0012,5.360602,3.669843,0.001442636
0.0013,5.328721,3.672436,0.000554909
0.0014,5.36228,3.668709,0.000638091
0.0015,5.343822,3.669843,0.001914364
0.0016,5.350534,3.669681,0.001803182
0.0017,5.374025,3.667736,0.002275
0.0018,5.348856,3.670167,0.001054273
0.0019,5.379059,3.666764,0.000222
0.002,5.350534,3.669033,0.001387091
0.0021,5.358924,3.671139,0.000943273
0.0022,5.368991,3.667088,0.001498091
0.0023,5.332077,3.671302,0.000582545
0.0024,5.358924,3.669195,0.001775455
0.0025,5.342144,3.670167,0.002025273
0.0026,5.335433,3.671788,0.001803273
0.0027,5.350534,3.669843,0.000499364
0.0028,5.327043,3.672112,-0.000249636
0.0029,5.342144,3.670491,-0.000249818
0.003,5.347178,3.670167,0.002219455
0.0031,5.335433,3.672112,0.001303909
0.0032,5.374025,3.668222,0.000804636
0.0033,5.343822,3.670815,0.000388364
0.0034,5.357246,3.668546,0.000638
0.0035,5.360602,3.66806,0.002275
0.0036,5.3455,3.670167,0.001969818
0.0037,5.379059,3.666764,0.001858727
0.0038,5.3455,3.669195,0.001525909
0.0039,5.365635,3.668871,0.000277545
0.004,5.379059,3.667736,0.001276182
0.0041,5.333755,3.671464,0.001914364
0.0042,5.363958,3.669033,0.000832273
0.0043,5.332077,3.670329,0.001442727
0.0044,5.347178,3.670977,-2.76364E-05
0.0045,5.357246,3.668709,0.001359273
0.0046,5.320331,3.673084,0.001498182
0.0047,5.348856,3.669357,0.001859
0.0048,5.335433,3.670815,0.001193
0.0049,5.337111,3.672598,0.001082
0.005,5.357246,3.668546,0.000582636
0.0051,5.332077,3.671464,0.002080727
0.0052,5.363958,3.668871,0.000998818
0.0053,5.348856,3.669033,0.000721364
0.0054,5.3455,3.670815,0.000887727
0.0055,5.374025,3.66725,0.000915455
0.0056,5.347178,3.669519,0.002080636
0.0057,5.365635,3.668222,0.001387091
0.0058,5.365635,3.667736,0.000610273
0.0059,5.352212,3.670167,0.001331636
0.006,5.377381,3.667088,0.002469182
0.0061,5.338789,3.671464,0.000749091
0.0062,5.350534,3.669357,0.002385818
0.0063,5.350534,3.669033,0.000471727
0.0064,5.325365,3.671626,0.000527
0.0065,5.352212,3.669519,0.002053
0.0066,5.325365,3.671464,0.000832455
0.0067,5.337111,3.671302,0.000499455
0.0068,5.363958,3.669681,0.001414909
0.0069,5.325365,3.67276,0.000610273
0.007,5.363958,3.669033,0.00086
0.0071,5.342144,3.670005,0.001553727
0.0072,5.35389,3.670005,0.000998818
0.0073,5.372347,3.667574,0.001276182
