Timestamp,Force (g),Position (mm),Stimulus
0.000000,0.462973,0.004272,0.001221
0.000100,0.454555,0.005188,0.001221
0.000200,0.459366,0.001221,0.003967
0.000300,0.505062,-0.000458,-0.000305
0.000400,0.511074,-0.001068,0.002136
0.000500,0.509872,0.000000,0.001831
0.000600,0.484619,-0.000305,-0.002441
0.000700,0.466581,-0.003204,0.000610
0.000800,0.472593,-0.003357,-0.003052
0.000900,0.477404,0.000000,0.000610
0.001000,0.471391,0.003967,0.003052
0.001100,0.456961,0.005646,0.000610
0.001200,0.461771,0.001678,0.003662
0.001300,0.497846,-0.000763,-0.001831
0.001400,0.518289,-0.002136,0.002136
0.001500,0.511074,-0.000763,0.003357
0.001600,0.484619,0.000000,-0.001831
0.001700,0.462973,-0.002136,0.000000
0.001800,0.464176,-0.002289,-0.003052
0.001900,0.472593,0.000000,-0.000305
0.002000,0.476201,0.003357,0.003052
0.002100,0.460568,0.006104,0.000916
0.002200,0.467783,0.002441,0.003052
0.002300,0.495441,-0.001373,-0.001526
0.002400,0.513479,-0.003357,0.001831
0.002500,0.517087,-0.001984,0.004578
0.002600,0.476201,0.000000,0.000305
0.002700,0.454555,0.000000,0.000916
0.002800,0.455758,-0.000305,-0.000610
0.002900,0.464176,0.000000,-0.002136
0.003000,0.477404,0.003204,0.002747
0.003100,0.474998,0.005188,0.000000
0.003200,0.473796,0.003357,0.003052
0.003300,0.490631,-0.000916,0.004578
0.003400,0.508669,-0.004272,0.000305
0.003500,0.518289,-0.002747,0.002136
0.003600,0.483416,0.000153,0.003052
0.003700,0.452150,0.001526,0.002441
0.003800,0.447340,0.001221,0.003052
0.003900,0.459366,0.000000,-0.001831
0.004000,0.484619,0.002747,0.000305
0.004100,0.483416,0.004730,0.000305
0.004200,0.482214,0.003204,0.002441
0.004300,0.489429,-0.001373,0.004578
0.004400,0.500252,-0.004883,0.000000
0.004500,0.513479,-0.003052,0.001831
0.004600,0.488226,-0.000153,0.003967
0.004700,0.455758,0.001984,0.002747
0.004800,0.443733,0.002136,0.004578
0.004900,0.455758,0.000000,-0.001526
0.005000,0.484619,0.002136,-0.000305
0.005100,0.496644,0.003204,0.000305
0.005200,0.490631,0.003052,0.001526
0.005300,0.483416,-0.000305,0.005188
0.005400,0.493036,-0.004578,0.000000
0.005500,0.514682,-0.003357,0.000610
0.005600,0.491834,-0.000305,0.005493
0.005700,0.458163,0.002441,0.002747
0.005800,0.442530,0.003510,0.005188
0.005900,0.452150,0.000458,-0.000305
0.006000,0.484619,0.001678,-0.000610
0.006100,0.505062,0.002441,0.000000
0.006200,0.497846,0.002594,0.000610
0.006300,0.484619,0.000000,0.003052
0.006400,0.489429,-0.004883,0.000305
0.006500,0.508669,-0.003357,0.000916
0.006600,0.496644,-0.000763,0.004578
0.006700,0.465378,0.002441,0.001526
0.006800,0.437720,0.003815,0.003357
0.006900,0.453353,0.001068,-0.000305
0.007000,0.487024,0.001678,0.001221
0.007100,0.511074,0.001221,0.000610
0.007200,0.500252,0.002136,-0.000610
0.007300,0.485821,-0.000153,-0.000305
0.007400,0.483416,-0.004425,0.000305
0.007500,0.496644,-0.003815,0.001526
0.007600,0.490631,-0.001068,0.003967
0.007700,0.468986,0.002747,0.000916
0.007800,0.447340,0.005188,0.000916
0.007900,0.447340,0.002289,0.002136
0.008000,0.488226,0.000763,0.002136
0.008100,0.515884,-0.000305,0.001526
0.008200,0.513479,0.000610,-0.002136
0.008300,0.485821,0.000000,-0.003967
0.008400,0.479809,-0.003510,0.000610
0.008500,0.483416,-0.003967,0.002747
0.008600,0.490631,-0.001526,0.004578
0.008700,0.474998,0.002747,0.000305
0.008800,0.448543,0.005188,0.000000
0.008900,0.453353,0.002747,0.003662
0.009000,0.485821,0.000916,0.002747
0.009100,0.514682,-0.001068,0.002747
0.009200,0.519492,-0.000458,-0.002441
0.009300,0.487024,-0.000153,-0.005188
0.009400,0.472593,-0.002289,0.001221
0.009500,0.471391,-0.003204,0.000610
0.009600,0.477404,-0.001068,0.002441
0.009700,0.477404,0.002747,0.000000
0.009800,0.460568,0.005188,0.000000
0.009900,0.462973,0.003357,0.004272
0.010000,0.485821,0.000000,0.001831
0.010100,0.513479,-0.002594,0.001831
0.010200,0.524302,-0.001678,-0.000305
0.010300,0.493036,-0.000763,-0.002747
0.010400,0.470188,-0.000763,0.000916
0.010500,0.456961,-0.002441,-0.000305
0.010600,0.470188,-0.000763,-0.001831
0.010700,0.484619,0.002136,0.000916
0.010800,0.468986,0.005035,0.002441
0.010900,0.473796,0.003815,0.003967
0.011000,0.485821,-0.000153,0.001526
0.011100,0.507467,-0.003662,0.000000
0.011200,0.520694,-0.002747,0.001831
0.011300,0.495441,-0.000916,0.000610
0.011400,0.470188,0.000153,0.001221
0.011500,0.449745,-0.000458,-0.000916
0.011600,0.464176,-0.000305,-0.004272
0.011700,0.481011,0.002136,0.001831
0.011800,0.479809,0.004425,0.002441
0.011900,0.478606,0.003967,0.003357
0.012000,0.488226,-0.000458,0.001831
0.012100,0.503859,-0.003510,-0.001221
0.012200,0.517087,-0.003357,0.003052
0.012300,0.496644,-0.000916,0.002747
0.012400,0.465378,0.000916,0.001221
0.012500,0.448543,0.000000,-0.000610
0.012600,0.460568,0.000000,-0.004578
0.012700,0.478606,0.001831,0.001526
0.012800,0.489429,0.003510,0.002441
0.012900,0.479809,0.003815,0.002441
0.013000,0.489429,0.000000,0.002441
0.013100,0.499049,-0.003662,-0.001221
0.013200,0.511074,-0.003662,0.003052
0.013300,0.496644,-0.001068,0.005188
0.013400,0.460568,0.001373,0.002136
0.013500,0.441328,0.001984,0.000000
0.013600,0.458163,0.000458,-0.004272
0.013700,0.477404,0.001526,0.001526
0.013800,0.495441,0.002747,0.002441
0.013900,0.488226,0.003662,0.001831
0.014000,0.485821,0.000305,0.001831
0.014100,0.495441,-0.003662,-0.001221
0.014200,0.506264,-0.003967,0.003357
0.014300,0.495441,-0.001678,0.005798
0.014400,0.456961,0.002441,0.001526
0.014500,0.444935,0.004272,0.001831
0.014600,0.450948,0.001373,-0.001221
0.014700,0.474998,0.001068,0.001831
0.014800,0.506264,0.001526,0.001221
0.014900,0.495441,0.002747,0.000000
0.015000,0.489429,0.000610,0.001831
0.015100,0.488226,-0.003510,0.000305
0.015200,0.497846,-0.004272,0.002747
0.015300,0.495441,-0.001678,0.005493
0.015400,0.467783,0.002594,0.001831
0.015500,0.443733,0.005341,0.003357
0.015600,0.446138,0.002136,0.001526
0.015700,0.473796,0.001068,0.000916
0.015800,0.508669,0.000610,-0.001221
0.015900,0.506264,0.002136,0.000000
0.016000,0.491834,0.000763,0.001526
0.016100,0.481011,-0.003204,0.002441
0.016200,0.490631,-0.004272,0.001831
0.016300,0.496644,-0.002136,0.003052
0.016400,0.478606,0.001678,0.001526
0.016500,0.452150,0.005646,0.003662
0.016600,0.443733,0.002899,0.003662
0.016700,0.473796,0.000763,0.001221
0.016800,0.511074,-0.000305,-0.001221
0.016900,0.519492,0.000763,-0.000305
0.017000,0.495441,0.001068,0.001221
0.017100,0.481011,-0.002289,0.002747
0.017200,0.478606,-0.004425,0.001526
0.017300,0.493036,-0.002289,0.002747
0.017400,0.482214,0.001831,0.001221
0.017500,0.458163,0.005798,0.003967
0.017600,0.444935,0.003662,0.002747
0.017700,0.470188,0.000763,0.000916
0.017800,0.507467,-0.000763,0.000000
0.017900,0.526707,0.000000,-0.001221
0.018000,0.501454,0.000763,0.000000
0.018100,0.473796,-0.001526,0.001221
0.018200,0.474998,-0.003662,0.000916
0.018300,0.479809,-0.002136,0.003052
0.018400,0.487024,0.001373,0.000916
0.018500,0.461771,0.005493,0.002136
0.018600,0.452150,0.004272,0.002747
0.018700,0.476201,0.000763,0.001526
0.018800,0.507467,-0.001831,0.001221
0.018900,0.527910,-0.001526,-0.000610
0.019000,0.506264,-0.000458,-0.002747
0.019100,0.468986,-0.000916,0.000000
0.019200,0.464176,-0.002747,0.000000
0.019300,0.472593,-0.001068,0.002136
0.019400,0.488226,0.001068,0.001221
0.019500,0.470188,0.005035,0.000916
0.019600,0.454555,0.004425,0.001831
0.019700,0.483416,0.001068,0.001526
0.019800,0.502657,-0.002136,0.003357
0.019900,0.526707,-0.002899,0.001221
0.020000,0.502657,-0.001373,-0.003967
0.020100,0.472593,-0.000610,-0.001831
0.020200,0.455758,-0.000610,-0.000305
0.020300,0.461771,-0.000305,0.001221
0.020400,0.484619,0.001373,0.002136
0.020500,0.477404,0.004120,0.000305
0.020600,0.471391,0.003967,0.002441
0.020700,0.488226,0.001221,0.001831
0.020800,0.496644,-0.002289,0.003357
0.020900,0.520694,-0.003815,0.002441
0.021000,0.505062,-0.001984,-0.001526
0.021100,0.471391,0.000000,0.000000
0.021200,0.453353,0.000458,0.000000
0.021300,0.450948,0.000305,-0.000610
0.021400,0.477404,0.001373,0.001831
0.021500,0.484619,0.002899,0.000610
0.021600,0.483416,0.003510,0.003357
0.021700,0.488226,0.001373,0.002441
0.021800,0.490631,-0.002594,0.002136
0.021900,0.514682,-0.003967,0.001526
0.022000,0.502657,-0.002747,0.000305
0.022100,0.473796,0.000000,0.002441
0.022200,0.452150,0.002289,0.000000
0.022300,0.443733,0.000763,-0.001831
0.022400,0.468986,0.001068,-0.000305
0.022500,0.493036,0.002136,0.000305
0.022600,0.491834,0.002899,0.004578
0.022700,0.493036,0.002136,0.003052
0.022800,0.487024,-0.002441,0.000305
0.022900,0.505062,-0.004120,0.000000
0.023000,0.503859,-0.003662,0.000916
0.023100,0.481011,-0.000153,0.004883
0.023200,0.450948,0.003357,0.000305
0.023300,0.440125,0.002289,-0.003052
0.023400,0.460568,0.001526,-0.001831
0.023500,0.490631,0.000763,0.000305
0.023600,0.502657,0.001678,0.004883
0.023700,0.495441,0.002136,0.002747
0.023800,0.484619,-0.000916,0.000000
0.023900,0.491834,-0.003662,0.001221
0.024000,0.494239,-0.004120,0.002441
0.024100,0.488226,-0.000916,0.003357
0.024200,0.454555,0.004425,0.001221
0.024300,0.438923,0.004425,-0.001831
0.024400,0.454555,0.002289,0.000916
0.024500,0.488226,0.000000,0.000000
0.024600,0.512277,0.000000,0.001831
0.024700,0.505062,0.001678,0.003357
0.024800,0.481011,0.000000,0.001221
0.024900,0.482214,-0.003052,0.004578
0.025000,0.483416,-0.004425,0.003052
0.025100,0.490631,-0.000916,0.001526
0.025200,0.461771,0.004425,0.002136
0.025300,0.444935,0.005341,0.000000
0.025400,0.454555,0.003204,0.003662
0.025500,0.488226,-0.000763,-0.000305
0.025600,0.518289,-0.000916,-0.000610
0.025700,0.511074,0.000458,0.001831
0.025800,0.482214,0.000153,0.000916
0.025900,0.470188,-0.001221,0.005188
0.026000,0.471391,-0.003357,0.004272
0.026100,0.483416,-0.000610,0.000000
0.026200,0.474998,0.004425,0.002747
0.026300,0.454555,0.005493,0.001831
0.026400,0.455758,0.003967,0.004578
0.026500,0.487024,-0.000916,0.000305
0.026600,0.520694,-0.002136,-0.003357
0.026700,0.520694,-0.001068,-0.000916
0.026800,0.485821,-0.000153,0.001221
0.026900,0.462973,-0.001068,0.003052
0.027000,0.462973,-0.002441,0.003662
0.027100,0.479809,-0.000305,-0.000305
0.027200,0.478606,0.003662,0.003052
0.027300,0.456961,0.005646,0.001831
0.027400,0.455758,0.003967,0.002747
0.027500,0.485821,-0.000763,0.000916
0.027600,0.518289,-0.002289,-0.001831
0.027700,0.520694,-0.001831,-0.001221
0.027800,0.488226,-0.000610,0.000610
0.027900,0.460568,-0.000458,0.001526
0.028000,0.458163,-0.001984,0.003967
0.028100,0.473796,-0.000458,0.000305
0.028200,0.478606,0.002747,0.002747
0.028300,0.470188,0.004730,0.002747
0.028400,0.462973,0.004425,0.000305
0.028500,0.481011,-0.000458,0.001831
0.028600,0.512277,-0.003052,-0.000916
0.028700,0.515884,-0.002594,-0.002441
0.028800,0.491834,-0.000916,0.000000
0.028900,0.455758,0.000000,-0.001831
0.029000,0.448543,-0.000305,0.002747
0.029100,0.465378,0.000305,0.001526
0.029200,0.479809,0.002289,0.002747
0.029300,0.478606,0.003662,0.002136
0.029400,0.472593,0.003967,-0.001526
0.029500,0.478606,-0.000153,0.001831
0.029600,0.503859,-0.002899,0.000000
0.029700,0.512277,-0.004120,-0.000916
0.029800,0.495441,-0.001831,-0.000305
0.029900,0.458163,0.000153,-0.003052
0.030000,0.442530,0.001068,0.001526
0.030100,0.458163,0.000610,0.002441
0.030200,0.478606,0.001678,0.003357
0.030300,0.484619,0.003052,0.003357
0.030400,0.476201,0.003967,-0.000916
0.030500,0.481011,0.000153,0.002441
0.030600,0.496644,-0.002747,0.000000
0.030700,0.509872,-0.004730,-0.001831
0.030800,0.491834,-0.002441,0.000610
0.030900,0.461771,0.000305,-0.001526
0.031000,0.442530,0.001831,0.000916
0.031100,0.452150,0.001373,0.000916
0.031200,0.474998,0.001221,0.002136
0.031300,0.491834,0.002289,0.004578
0.031400,0.484619,0.003357,0.000000
0.031500,0.481011,0.000763,0.002441
0.031600,0.494239,-0.002747,0.000916
0.031700,0.501454,-0.004578,-0.001221
0.031800,0.493036,-0.002747,0.000916
0.031900,0.460568,0.000916,0.000000
0.032000,0.438923,0.003052,-0.000610
0.032100,0.449745,0.001984,0.001221
0.032200,0.472593,0.000763,0.000610
0.032300,0.493036,0.001678,0.005188
0.032400,0.495441,0.002441,0.002747
0.032500,0.484619,0.000763,0.001526
0.032600,0.485821,-0.002899,0.001831
0.032700,0.488226,-0.004883,-0.002747
0.032800,0.484619,-0.002899,0.002747
0.032900,0.466581,0.001678,0.002136
0.033000,0.441328,0.004272,-0.001526
0.033100,0.442530,0.002747,0.000305
0.033200,0.470188,0.000458,-0.002747
