Timestamp,Force (g),Position (mm),Stimulus
0.000000,0.093120,0.001831,-0.000305
0.000100,0.099080,0.001984,0.000305
0.000200,0.102060,-0.001373,0.000000
0.000300,0.105785,-0.002441,-0.001831
0.000400,0.110254,-0.002594,-0.002136
0.000500,0.103550,-0.001678,0.000916
0.000600,0.094610,0.000458,0.002747
0.000700,0.087161,0.001984,0.003662
0.000800,0.093865,0.001068,0.001831
0.000900,0.099825,0.000916,0.001221
0.001000,0.109509,-0.001373,0.006104
0.001100,0.116214,-0.001678,0.002441
0.001200,0.104295,-0.000916,-0.000610
0.001300,0.102805,0.000763,0.000610
0.001400,0.088651,-0.001068,0.001221
0.001500,0.092375,-0.001221,-0.001831
0.001600,0.090885,0.000153,0.000610
0.001700,0.101315,0.000153,-0.002136
0.001800,0.097590,0.001831,0.000610
0.001900,0.102060,0.001373,0.000000
0.002000,0.102060,-0.000458,0.003967
0.002100,0.104295,-0.002747,0.000000
0.002200,0.102060,-0.002441,-0.000916
0.002300,0.102060,-0.002441,0.003967
0.002400,0.098335,0.000458,0.004883
0.002500,0.093865,0.001831,-0.000305
0.002600,0.093865,0.002747,0.001526
0.002700,0.093865,-0.000763,0.003357
0.002800,0.107275,-0.001068,-0.001526
0.002900,0.105785,-0.002594,-0.000610
0.003000,0.112489,-0.001373,0.000000
0.003100,0.094610,-0.000153,-0.002136
0.003200,0.090885,0.000916,0.000916
0.003300,0.084181,0.001068,0.003052
0.003400,0.090140,0.000000,-0.000305
0.003500,0.101315,0.000458,-0.000305
0.003600,0.110999,-0.000305,0.000916
0.003700,0.108764,0.000000,0.004883
0.003800,0.105040,-0.000458,0.001221
0.003900,0.095355,-0.001068,0.001221
0.004000,0.093865,-0.000916,0.003662
0.004100,0.096845,-0.001221,0.004272
0.004200,0.099825,0.000000,0.000305
0.004300,0.096845,0.001831,0.000916
0.004400,0.094610,0.001678,0.000916
0.004500,0.099080,0.000916,0.000916
0.004600,0.098335,-0.001221,-0.001526
0.004700,0.105785,-0.002136,-0.001221
0.004800,0.104295,-0.001984,-0.001831
0.004900,0.102060,-0.000916,0.000610
0.005000,0.093120,0.001678,0.001526
0.005100,0.084926,0.001831,0.001526
0.005200,0.090885,0.000916,0.001526
0.005300,0.102060,0.000000,0.000000
0.005400,0.113234,-0.001831,0.006104
0.005500,0.113979,-0.001831,0.003052
0.005600,0.101315,-0.000916,0.000000
0.005700,0.097590,0.000763,0.002747
0.005800,0.087161,-0.000610,0.005188
0.005900,0.092375,-0.000458,-0.001526
0.006000,0.094610,0.000610,0.000000
0.006100,0.102060,-0.000153,0.001221
0.006200,0.101315,0.001526,0.000916
0.006300,0.102805,0.000763,0.000000
0.006400,0.102060,-0.000458,0.001221
0.006500,0.097590,-0.003052,-0.002747
0.006600,0.099080,-0.002289,0.000000
0.006700,0.101315,-0.001526,0.001526
0.006800,0.095355,0.001221,0.002136
0.006900,0.092375,0.002441,-0.000610
0.007000,0.097590,0.001831,0.002747
0.007100,0.099080,-0.001373,0.006104
0.007200,0.108764,-0.001984,-0.000305
0.007300,0.106530,-0.002441,0.000305
0.007400,0.108020,-0.000916,0.002136
0.007500,0.091630,0.000916,0.003052
0.007600,0.089395,0.001526,0.001221
0.007700,0.088651,0.002136,0.000305
0.007800,0.091630,-0.000458,-0.000916
0.007900,0.105040,-0.000153,0.000000
0.008000,0.114724,-0.000763,-0.000610
0.008100,0.109509,0.000153,-0.000916
0.008200,0.094610,-0.000305,-0.001221
0.008300,0.089395,-0.001984,0.001221
0.008400,0.090140,-0.000763,0.002136
0.008500,0.094610,-0.000610,0.003357
0.008600,0.103550,0.000610,0.000610
0.008700,0.102060,0.001373,0.001526
0.008800,0.102060,0.000763,0.004578
0.008900,0.103550,-0.000916,0.004272
0.009000,0.098335,-0.001678,-0.001831
0.009100,0.101315,-0.001526,0.000000
0.009200,0.099080,-0.001221,0.003662
0.009300,0.097590,0.000610,0.000610
0.009400,0.090885,0.003662,0.000000
0.009500,0.086416,0.001373,0.001526
0.009600,0.092375,0.000153,0.000305
0.009700,0.104295,-0.001221,-0.001221
0.009800,0.112489,-0.002441,0.001526
0.009900,0.109509,-0.001678,0.000000
0.010000,0.092375,-0.000916,-0.001221
0.010100,0.093120,-0.000305,0.002747
0.010200,0.085671,0.000000,0.005493
0.010300,0.093120,0.000305,-0.001831
0.010400,0.099825,0.000610,0.001526
0.010500,0.103550,-0.000610,0.005188
0.010600,0.103550,0.000916,0.000916
0.010700,0.100570,0.000458,-0.000305
0.010800,0.099080,-0.000305,0.000305
0.010900,0.090140,-0.002136,-0.001526
0.011000,0.097590,-0.001831,-0.000610
0.011100,0.101315,0.000458,0.001831
0.011200,0.093120,0.001984,-0.000305
0.011300,0.084926,0.002441,0.000305
0.011400,0.099080,0.000000,0.000610
0.011500,0.100570,-0.001221,0.003967
0.011600,0.107275,-0.002747,0.003052
0.011700,0.103550,-0.002594,0.000610
0.011800,0.099825,-0.000763,0.003662
0.011900,0.087906,0.001373,0.004272
0.012000,0.087906,0.001526,0.001221
0.012100,0.087906,0.001831,0.000305
0.012200,0.092375,-0.000916,0.000305
0.012300,0.110254,-0.000763,0.001221
