Timestamp,Force (g),Position (mm),Stimulus
0,3.256461,3.67357,0.001720091
0.0001,3.249749,3.672436,0.001220727
0.0002,3.253105,3.67276,0.001303727
0.0003,3.239681,3.674867,0.001969818
0.0004,3.278274,3.669357,0.000887818
0.0005,3.266528,3.671626,0.001609091
0.0006,3.226258,3.673895,8.31818E-05
0.0007,3.249749,3.672598,0
0.0008,3.253105,3.674057,-2.77273E-05
0.0009,3.259816,3.670491,0.000998818
0.001,3.274918,3.670815,0.000693636
0.0011,3.222902,3.674705,0.001359455
0.0012,3.259816,3.671788,0.001442636
0.0013,3.263172,3.671788,0.000554909
0.0014,3.263172,3.672112,0.000638091
0.0015,3.27324,3.670815,0.001914364
0.0016,3.236325,3.675029,0.001803182
0.0017,3.256461,3.672436,0.002275
0.0018,3.28163,3.670329,0.001054273
0.0019,3.251427,3.674219,0.000222
0.002,3.263172,3.672436,0.001387091
0.0021,3.256461,3.67357,0.000943273
0.0022,3.253105,3.67276,0.001498091
0.0023,3.284986,3.669357,0.000582545
0.0024,3.256461,3.674057,0.001775455
0.0025,3.244715,3.67357,0.002025273
0.0026,3.27324,3.671788,0.001803273
0.0027,3.259816,3.673084,0.000499364
0.0028,3.276596,3.670329,-0.000249636
0.0029,3.256461,3.673084,-0.000249818
0.003,3.234647,3.674705,0.002219455
0.0031,3.274918,3.671464,0.001303909
0.0032,3.269884,3.672436,0.000804636
0.0033,3.26485,3.671788,0.000388364
0.0034,3.266528,3.672274,0.000638
0.0035,3.243037,3.674867,0.002275
0.0036,3.279952,3.669519,0.001969818
0.0037,3.28163,3.670329,0.001858727
0.0038,3.253105,3.673733,0.001525909
0.0039,3.276596,3.672112,0.000277545
0.004,3.256461,3.674381,0.001276182
0.0041,3.269884,3.670815,0.001914364
0.0042,3.286664,3.670167,0.000832273
0.0043,3.232969,3.675353,0.001442727
0.0044,3.259816,3.673084,-2.76364E-05
0.0045,3.274918,3.672274,0.001359273
0.0046,3.258138,3.671788,0.001498182
0.0047,3.276596,3.670005,0.001859
0.0048,3.246393,3.676326,0.001193
0.0049,3.244715,3.673895,0.001082
0.005,3.293375,3.669843,0.000582636
0.0051,3.259816,3.672922,0.002080727
0.0052,3.259816,3.672112,0.000998818
0.0053,3.253105,3.67357,0.000721364
0.0054,3.246393,3.674057,0.000887727
0.0055,3.290019,3.669681,0.000915455
0.0056,3.26485,3.673084,0.002080636
0.0057,3.236325,3.673733,0.001387091
0.0058,3.268206,3.671788,0.000610273
0.0059,3.256461,3.673246,0.001331636
0.006,3.27324,3.670005,0.002469182
0.0061,3.271562,3.671626,0.000749091
0.0062,3.232969,3.675191,0.002385818
0.0063,3.276596,3.671788,0.000471727
0.0064,3.26485,3.672274,0.000527
0.0065,3.259816,3.671788,0.002053
0.0066,3.261494,3.672274,0.000832455
0.0067,3.236325,3.675839,0.000499455
0.0068,3.261494,3.670815,0.001414909
0.0069,3.283308,3.670653,0.000610273
0.007,3.246393,3.673409,0.00086
0.0071,3.259816,3.67195,0.001553727
0.0072,3.249749,3.676002,0.000998818
0.0073,3.261494,3.671139,0.001276182
0.0074,3.286664,3.669519,0.001442636
0.0075,3.234647,3.674705,0.000971091
0.0076,3.253105,3.673084,0.001442545
0.0077,3.263172,3.672598,0.000860182
0.0078,3.251427,3.67195,0.000305182
0.0079,3.27324,3.670491,0.001415
0.008,3.238003,3.674867,0.001470455
0.0081,3.229613,3.67357,0.002607909
0.0082,3.279952,3.670167,0.000860091
0.0083,3.254783,3.672598,0.000388455
0.0084,3.253105,3.671626,0.000832273
0.0085,3.248071,3.67276,0.001248455
0.0086,3.244715,3.674219,0.002219636
0.0087,3.283308,3.669519,0.001442545
0.0088,3.259816,3.673084,0.001442545
0.0089,3.234647,3.67357,0.000638091
0.009,3.263172,3.67195,0.002219364
0.0091,3.246393,3.674057,0.000887909
0.0092,3.26485,3.670491,0.001193091
0.0093,3.266528,3.672436,-0.000360636
0.0094,3.231291,3.674867,0.000360545
0.0095,3.266528,3.671464,0.000915545
0.0096,3.268206,3.673733,0.002025091
0.0097,3.259816,3.672112,0.001387273
0.0098,3.26485,3.671626,0.000860182
0.0099,3.239681,3.675191,0.000582636
0.01,3.268206,3.670977,0.000693545
0.0101,3.27324,3.670491,0.001081909
0.0102,3.243037,3.673733,0.001720273
0.0103,3.258138,3.672274,0.000943273
0.0104,3.249749,3.674219,0.001664636
0.0105,3.253105,3.671139,0.001082
0.0106,3.279952,3.669681,0.001026545
0.0107,3.229613,3.674381,0.001609091
0.0108,3.243037,3.673084,0.000721273
0.0109,3.263172,3.671464,0.001109727
0.011,3.256461,3.672274,0.001470455
0.0111,3.266528,3.670653,0.00172
0.0112,3.238003,3.674705,0.000693545
0.0113,3.236325,3.67357,0.001498182
0.0114,3.274918,3.670167,0.00086
0.0115,3.251427,3.673409,0.001192909
0.0116,3.238003,3.672274,0.001193091
0.0117,3.253105,3.673084,0.001220727
0.0118,3.234647,3.673733,0.001969727
0.0119,3.274918,3.669357,0.001109727
0.012,3.258138,3.67357,0.000971091
0.0121,3.229613,3.674219,2.78182E-05
0.0122,3.266528,3.671302,0.000388545
0.0123,3.249749,3.673246,0.000471636
0.0124,3.263172,3.670653,0.002053091
0.0125,3.256461,3.67195,0.001276182
0.0126,3.219546,3.675515,0.001664636
0.0127,3.27324,3.671788,0.001165273
0.0128,3.256461,3.672274,0.001081818
0.0129,3.244715,3.672112,0.000693545
0.013,3.253105,3.671464,0.001359364
0.0131,3.231291,3.675029,0.001276182
0.0132,3.254783,3.671464,0.000166455
0.0133,3.27324,3.669843,0.000138636
0.0134,3.243037,3.673895,0.000138636
0.0135,3.248071,3.672274,0.001775636
0.0136,3.248071,3.673733,0.000582545
0.0137,3.249749,3.671626,0.001581455
0.0138,3.276596,3.669519,0.000776818
0.0139,3.226258,3.674867,0.001442727
0.014,3.231291,3.67357,0.001942091
0.0141,3.263172,3.671626,0.001775455
0.0142,3.249749,3.672274,0.001082
0.0143,3.266528,3.669681,0.001858636
0.0144,3.238003,3.673895,0.000305273
0.0145,3.232969,3.674543,0.002025273
0.0146,3.278274,3.669843,0.000388273
0.0147,3.259816,3.672598,0.001109727
0.0148,3.251427,3.672112,0.000665909
0.0149,3.246393,3.672922,0.001609091
0.015,3.229613,3.675191,0.001914364
0.0151,3.288341,3.670005,0.001942
0.0152,3.263172,3.672436,0.001831182
0.0153,3.231291,3.673733,0.001220727
0.0154,3.256461,3.671626,0.001026636
0.0155,3.246393,3.673733,0.001054182
0.0156,3.263172,3.670653,0.000749
0.0157,3.26485,3.671139,-0.000443818
0.0158,3.226258,3.675191,2.75455E-05
0.0159,3.258138,3.671626,0.001192909
0.016,3.266528,3.67195,0.001248364
0.0161,3.243037,3.67195,0.002330364
0.0162,3.259816,3.671139,0.001581364
0.0163,3.232969,3.675839,0.001498091
0.0164,3.244715,3.673084,0.001526
0.0165,3.278274,3.670005,0.001220636
0.0166,3.244715,3.673084,0.000943273
0.0167,3.249749,3.671788,0.000887909
0.0168,3.246393,3.67357,0.001331727
0.0169,3.241359,3.67276,0.001858909
0.017,3.28163,3.669033,0.000998909
0.0171,3.246393,3.673733,0.000776818
0.0172,3.229613,3.673733,0.001387182
0.0173,3.258138,3.672112,0.001553818
0.0174,3.239681,3.673246,0.001747909
0.0175,3.27324,3.670005,0.002108455
0.0176,3.234647,3.67357,0.001553818
0.0177,3.212834,3.674867,0.000665909
0.0178,3.263172,3.670491,0.000915636
0.0179,3.254783,3.673246,0.000249818
0.018,3.244715,3.671626,0.001470455
0.0181,3.243037,3.67195,0.001054273
0.0182,3.221224,3.675515,0.000887909
0.0183,3.263172,3.670653,0.001414909
0.0184,3.26485,3.671464,0.000915727
0.0185,3.22458,3.673895,0.001664636
0.0186,3.244715,3.672274,0.000693545
0.0187,3.239681,3.674381,0.001054182
0.0188,3.248071,3.671302,0.001165273
0.0189,3.269884,3.670491,0.001498091
0.019,3.221224,3.674543,0.002219455
0.0191,3.243037,3.672112,0.001470455
0.0192,3.256461,3.671302,0
0.0193,3.243037,3.672274,0.001387273
0.0194,3.261494,3.670815,0.001636909
0.0195,3.229613,3.675029,0.000860091
0.0196,3.231291,3.673409,0.001387182
0.0197,3.266528,3.670005,0.001415091
0.0198,3.227936,3.674057,0.001442727
0.0199,3.238003,3.672274,0.001553727
0.02,3.239681,3.673895,-2.78182E-05
0.0201,3.229613,3.672922,0.000332818
0.0202,3.269884,3.668871,0.000554818
0.0203,3.241359,3.674543,0.001470455
0.0204,3.219546,3.67357,0.001442636
0.0205,3.254783,3.671626,0.00086
0.0206,3.239681,3.672598,0.000665909
0.0207,3.259816,3.669843,0.001414909
0.0208,3.234647,3.673246,0.001415
0.0209,3.2078,3.675191,0.001775455
0.021,3.254783,3.671139,0.001525818
0.0211,3.246393,3.672598,0.001720182
0.0212,3.239681,3.671139,0.002136364
0.0213,3.238003,3.672112,0.000582727
0.0214,3.214512,3.675353,0.001636727
0.0215,3.253105,3.670491,0.002469273
0.0216,3.26485,3.670653,0.000804545
0.0217,3.227936,3.673246,0.000582455
0.0218,3.244715,3.671788,0.001081909
0.0219,3.227936,3.674705,0.000277364
0.022,3.246393,3.671139,0.001803455
0.0221,3.266528,3.670491,0.001220727
0.0222,3.217868,3.675353,0.000332727
0.0223,3.236325,3.672598,0.000499273
0.0224,3.251427,3.67276,0.000943273
0.0225,3.231291,3.672112,0.000305182
0.0226,3.263172,3.670005,0.002608
0.0227,3.22458,3.676163,0.001137636
0.0228,3.226258,3.67357,0.001692364
0.0229,3.27324,3.670005,0.000804455
0.023,3.238003,3.673246,0.001082
0.0231,3.248071,3.671626,0.001747909
0.0232,3.229613,3.673895,0.002219455
0.0233,3.221224,3.674705,0.001193
0.0234,3.268206,3.669519,0.001553545
0.0235,3.244715,3.673246,0.001054091
0.0236,3.21619,3.673409,0.002247182
0.0237,3.248071,3.672274,0.002413636
0.0238,3.231291,3.673246,0.001276182
0.0239,3.261494,3.669519,0.001415
0.024,3.258138,3.671626,0.000749
0.0241,3.214512,3.675353,0.000499364
0.0242,3.256461,3.671464,0.001387091
0.0243,3.248071,3.67195,-0.001137364
0.0244,3.243037,3.671139,0.001248455
0.0245,3.243037,3.671626,0.000749182
0.0246,3.212834,3.676326,0.001054091
0.0247,3.241359,3.671626,0.002080818
0.0248,3.259816,3.670815,0.001165091
0.0249,3.231291,3.672922,0.002441455
0.025,3.241359,3.671626,0.001331636
0.0251,3.229613,3.676326,0.000444091
0.0252,3.243037,3.672112,0.000277455
0.0253,3.28163,3.669519,0.001581273
0.0254,3.226258,3.674381,0.001387091
0.0255,3.231291,3.673084,0.001359455
0.0256,3.246393,3.672598,0.000776909
0.0257,3.238003,3.67276,0.001276273
0.0258,3.274918,3.670491,0.001609182
0.0259,3.231291,3.674543,0.002663273
0.026,3.222902,3.67357,0.002413545
0.0261,3.26485,3.670491,0.001304
0.0262,3.244715,3.672598,0.000998727
0.0263,3.244715,3.671302,0.001997545
0.0264,3.243037,3.672922,0.002025455
0.0265,3.227936,3.674543,0.001137636
0.0266,3.271562,3.669681,0.00086
0.0267,3.249749,3.672274,-0.000166455
0.0268,3.221224,3.673246,0.000444
0.0269,3.246393,3.672436,0.001831
0.027,3.229613,3.674705,0.001914364
0.0271,3.244715,3.670167,0.000832364
0.0272,3.266528,3.671788,0.001470364
0.0273,3.211156,3.674705,0.000721364
0.0274,3.243037,3.671464,0.002053182
0.0275,3.246393,3.67276,0.001414909
0.0276,3.241359,3.671626,0.000915545
0.0277,3.253105,3.670977,0.001664727
0.0278,3.211156,3.675515,0.000582636
0.0279,3.236325,3.672436,0.000943091
0.028,3.261494,3.670329,0.001525818
0.0281,3.22458,3.673409,0.001137455
0.0282,3.251427,3.67195,0.001276273
0.0283,3.232969,3.674867,0.001581545
0.0284,3.234647,3.672598,0.001414909
0.0285,3.269884,3.669357,0.001109727
0.0286,3.229613,3.673895,0.001026545
0.0287,3.221224,3.673246,0.000610455
0.0288,3.249749,3.67195,0.000998909
0.0289,3.234647,3.673246,0.001303909
0.029,3.263172,3.670167,0.001859
0.0291,3.232969,3.67357,0.001165182
0.0292,3.2078,3.674543,0.000943364
0.0293,3.253105,3.670815,0.001359364
0.0294,3.243037,3.672922,0.001581364
0.0295,3.229613,3.671788,0.001165182
0.0296,3.243037,3.672274,0.001415
0.0297,3.221224,3.674381,0.000360727
0.0298,3.249749,3.670005,0.001442727
0.0299,3.251427,3.670653,0.001081818
0.03,3.219546,3.674219,0.000776818
0.0301,3.243037,3.67195,0.001747909
0.0302,3.226258,3.675029,0.001608909
0.0303,3.239681,3.670815,0.002274909
0.0304,3.253105,3.670977,0.001303727
0.0305,3.2078,3.675839,0.001331545
0.0306,3.239681,3.672436,-0.000249636
0.0307,3.248071,3.671626,0.000943364
0.0308,3.229613,3.671464,0.000915364
0.0309,3.251427,3.670491,0.001359455
0.031,3.21619,3.676002,0.000610545
0.0311,3.227936,3.67276,0.001609091
0.0312,3.266528,3.669357,0.000249727
0.0313,3.227936,3.672922,0.001526091
0.0314,3.232969,3.672274,0.001054273
0.0315,3.22458,3.674219,0.001664455
0.0316,3.222902,3.673084,0.001581364
0.0317,3.259816,3.669519,0.001109727
0.0318,3.229613,3.673733,0.000777
0.0319,3.2078,3.673409,0.001525818
0.032,3.244715,3.672112,0.001609182
0.0321,3.231291,3.67276,0.001498273
0.0322,3.253105,3.670005,0.000998545
0.0323,3.232969,3.672274,0.000998818
0.0324,3.2078,3.674705,0.000693636
0.0325,3.256461,3.670815,0.001414909
0.0326,3.239681,3.672436,0.001470364
0.0327,3.238003,3.671788,0.002413636
0.0328,3.238003,3.672436,0.002275
0.0329,3.212834,3.675353,0.001442636
0.033,3.248071,3.670491,0.000665818
0.0331,3.256461,3.671302,0.001442636
0.0332,3.217868,3.673409,0.001858818
0.0333,3.239681,3.671788,0.001331636
0.0334,3.231291,3.676163,0.000804455
0.0335,3.244715,3.671139,9.09091E-08
0.0336,3.266528,3.670167,0.001026636
0.0337,3.214512,3.675353,0.000554909
0.0338,3.234647,3.67276,0.001442818
0.0339,3.249749,3.671464,0.002080727
0.034,3.234647,3.67195,0.000971
0.0341,3.251427,3.670977,0.001498182
0.0342,3.221224,3.675191,0.001331727
0.0343,3.222902,3.673246,0.000971
0.0344,3.266528,3.669519,0.000804545
0.0345,3.231291,3.672436,0.001026545
0.0346,3.229613,3.671626,0.001803091
0.0347,3.229613,3.673409,5.55455E-05
0.0348,3.222902,3.67357,0.000804455
0.0349,3.266528,3.669195,0.001137545
0.035,3.234647,3.673246,0.001220636
0.0351,3.217868,3.673246,0.001720091
0.0352,3.234647,3.672922,0.002524636
