Timestamp,Force (g),Position (mm),Stimulus
0,4.825337,3.671626,0.001720091
0.0001,4.823659,3.671626,0.001220727
0.0002,4.838761,3.670491,0.001303727
0.0003,4.801847,3.67357,0.001969818
0.0004,4.816948,3.672112,0.000887818
0.0005,4.842117,3.668709,0.001609091
0.0006,4.816948,3.673084,8.31818E-05
0.0007,4.820304,3.671626,0
0.0008,4.805202,3.672112,-2.77273E-05
0.0009,4.842117,3.670329,0.000998818
0.001,4.837083,3.670815,0.000693636
0.0011,4.793457,3.675677,0.001359455
0.0012,4.821982,3.670491,0.001442636
0.0013,4.825337,3.670491,0.000554909
0.0014,4.837083,3.671139,0.000638091
0.0015,4.820304,3.672598,0.001914364
0.0016,4.801847,3.672922,0.001803182
0.0017,4.867286,3.668546,0.002275
0.0018,4.821982,3.67276,0.001054273
0.0019,4.823659,3.672436,0.000222
0.002,4.813592,3.671626,0.001387091
0.0021,4.823659,3.670977,0.000943273
0.0022,4.852185,3.669195,0.001498091
0.0023,4.796813,3.674705,0.000582545
0.0024,4.81527,3.671464,0.001775455
0.0025,4.827015,3.669843,0.002025273
0.0026,4.840439,3.671302,0.001803273
0.0027,4.827015,3.67195,0.000499364
0.0028,4.788423,3.674381,-0.000249636
0.0029,4.837083,3.669519,-0.000249818
0.003,4.835405,3.670653,0.002219455
0.0031,4.820304,3.675029,0.001303909
0.0032,4.818626,3.67195,0.000804636
0.0033,4.816948,3.672112,0.000388364
0.0034,4.848829,3.669033,0.000638
0.0035,4.813592,3.673733,0.002275
0.0036,4.810236,3.673733,0.001969818
0.0037,4.828693,3.669843,0.001858727
0.0038,4.835405,3.670815,0.001525909
0.0039,4.840439,3.670815,0.000277545
0.004,4.793457,3.674867,0.001276182
0.0041,4.821982,3.670977,0.001914364
0.0042,4.850507,3.669033,0.000832273
0.0043,4.81527,3.673733,0.001442727
0.0044,4.821982,3.67195,-2.76364E-05
0.0045,4.801847,3.672598,0.001359273
0.0046,4.847151,3.669519,0.001498182
0.0047,4.830371,3.671626,0.001859
0.0048,4.803524,3.674219,0.001193
0.0049,4.833727,3.670167,0.001082
0.005,4.832049,3.671302,0.000582636
0.0051,4.842117,3.670167,0.002080727
0.0052,4.805202,3.673895,0.000998818
0.0053,4.810236,3.672436,0.000721364
0.0054,4.848829,3.66806,0.000887727
0.0055,4.818626,3.672274,0.000915455
0.0056,4.830371,3.672112,0.002080636
0.0057,4.798491,3.672274,0.001387091
0.0058,4.843795,3.670977,0.000610273
0.0059,4.838761,3.669843,0.001331636
0.006,4.801847,3.675191,0.002469182
0.0061,4.828693,3.671139,0.000749091
0.0062,4.825337,3.670815,0.002385818
0.0063,4.837083,3.671464,0.000471727
0.0064,4.823659,3.672922,0.000527
0.0065,4.791779,3.673733,0.002053
